,League,Team,Country,Rating,Age,Years,AAV
Bernice Key,Egypt,Shubra El Kheima,Turkey,14.437047670395213,12,1,1.7999999999999998
Zachary Lankford,Kuwait,Abu Halifa,France,14.40761362421429,2,2,0.1
Kevin Kimbrough,Slovakia,Levice,Finland,14.349324040283415,1,3,0.5
Amanda Shaw,Ukraine,Chernivtsi,Ukraine,14.322952523873438,1,3,0.4666666666666667
Karen Patton,Nigeria,Warri,Italy,14.318869446811934,12,1,1.2000000000000002
Stacey Smith,Pakistan,Sargodha,Canada,14.317410081630419,1,3,0.5
Kathleen Trevino,Hong Kong,Fanling,Hong Kong,14.308506018413937,1,3,0.4666666666666667
Herbert Ruot,United Arab Emirates,Dhaid,United Arab Emirates,14.30296913234192,1,3,0.37777777777777777
William Crum,Pakistan,Quetta,South Korea,14.301866667461685,1,3,0.48888888888888893
Allison Ma,New Zealand,Whanganui,United States,14.30115909951142,1,3,0.5333333333333334
Darryl Mulholland,Angola,Malanje,Switzerland,14.269541096693827,1,3,0.5
Sue Silkwood,Thailand,Rayong,Thailand,14.263754213592094,1,3,0.35
Eloy Obrien,Ireland,Dundalk,Ireland,14.251811022414909,12,1,1.866666666666667
Ricardo Chalepah,Kazakhstan,Kyzylorda,Mexico,14.203548225757586,12,3,0.5
Thomas Pleasant,Vietnam,My Tho,Czech Republic,14.187809775531766,1,3,0.4666666666666667
Alberta Menear,Hong Kong,Tsuen Wan,Italy,14.17248179816655,12,1,1.5
Duane Hudson,Vietnam,Nam Dinh,Germany,14.142372259356362,1,3,0.4666666666666667
Norman Miller,Morocco,Taza,Morocco,14.136488629880168,1,3,0.4666666666666667
Julia Wiley,Belgium,Mons,United States,14.132325477750994,12,1,2.0777777777777775
Allen Tibbert,Philippines,Zamboanga,Germany,14.130939113729443,11,2,1.6666666666666665
Jerry Stiles,Egypt,Minya,Israel,14.107346686855182,1,3,0.4666666666666667
Mary Kachermeyer,Bangladesh,Khulna,Italy,14.064475897166517,13,2,1.3333333333333335
Rosanne Cooke,Singapore,Toa Payoh,India,14.057809053313353,12,1,1.6666666666666667
John Davis,Ecuador,Santo Domingo,New Zealand,14.053612352185137,12,1,1.7999999999999998
Dennis Sims,Vietnam,Da Lat,Ireland,14.03699237913445,1,3,0.4666666666666667
Joyce Grenier,Egypt,Damanhur,Japan,14.036603247911183,1,3,0.4666666666666667
Margarita Konieczny,Vietnam,Ca Mau,Canada,14.027511591778858,13,3,0.4666666666666667
Steven Casanova,Hungary,Szolnok,Japan,14.02609669129914,1,3,0.5
Robert Lazarine,Egypt,Beni Suef,Mexico,14.022360398080206,1,3,0.4666666666666667
Betty Hall,Vietnam,Rach Gia,China,14.015052736209347,1,3,0.4666666666666667
Julian Hallett,Philippines,Pasig,Japan,14.007027283541035,12,1,1.7999999999999998
Frances Pope,Egypt,Zagazig,Japan,13.992094935660223,13,3,0.4666666666666667
Megan Ransom,Hong Kong,Causeway Bay,Japan,13.972440181023623,1,3,0.4666666666666667
Brenda Lawver,Hong Kong,Shau Kei Wan,Poland,13.97024144281353,1,3,0.4666666666666667
Harold Faux,Egypt,Dammietta,Brazil,13.957673022689821,1,3,0.4666666666666667
Robert Riley,Indonesia,Batam,India,13.95502227225719,12,1,4.166666666666666
Brian Meyer,Peru,Tacna,Denmark,13.948261899878716,12,1,0.8888888888888888
Darryl Mendenhall,Portugal,Barreiro,United States,13.931218169127964,12,1,1.7999999999999998
Janet Rhyne,India,Patna,India,13.920149160437333,12,1,2.3000000000000007
Juan Belk,Ukraine,Kharkiv,Italy,13.911916895290176,11,2,1.4666666666666668
Zachery Nash,Malaysia,Kuching,Italy,13.888725848994936,11,2,1.4666666666666668
Angel Sarkin,Ireland,Swords,Ireland,13.860794858201483,12,1,1.6000000000000005
George Pennick,Bangladesh,Jessore,Italy,13.836638630971223,12,3,0.4666666666666667
Jennifer Buck,Switzerland,Uster,India,13.823616001946725,11,2,1.3333333333333335
Susan Mathews,Egypt,Fayyum,Germany,13.818461129702273,1,3,0.4666666666666667
Lee Gale,Philippines,General Santos,China,13.76633265469896,11,2,1.3333333333333335
Martin Rivard,Ukraine,Mariupol,United States,13.76544667742325,11,2,1.1999999999999997
Crystal Damm,Pakistan,Quetta,Japan,13.759984927727453,14,1,1.3333333333333333
Donnie Braswell,Oman,Al Khuwair,France,13.748070189899945,11,2,1.4000000000000001
Richard Krier,Turkey,Erzurum,Turkey,13.74069769505902,13,2,1.0666666666666669
Lillie Williams,Bangladesh,Bogra,South Korea,13.725480565116593,1,3,0.4666666666666667
Vania Quigley,Egypt,Aswan,Austria,13.667887031252702,12,3,0.4666666666666667
Todd Turner,Bangladesh,Dinajpur,India,13.667578423053634,1,3,0.4666666666666667
Jo Carter,Hong Kong,Central,Indonesia,13.637008648983766,13,3,0.4666666666666667
Silvia Smith,Sweden,Helsingborg,Germany,13.632741493616201,12,1,4.0
Fran Delaney,New Zealand,Taupo,Germany,13.609532550286687,1,3,0.4666666666666667
Perry Simon,Hong Kong,Mong Kok,United Kingdom,13.608211700480947,1,3,0.4666666666666667
Brian Diaz,Slovakia,Prešov,China,13.600846694406732,11,2,1.2000000000000002
Harriet Ramos,Pakistan,Gujrat,United States,13.593860600122769,13,3,0.4666666666666667
Robert Melena,Pakistan,Sukkur,Japan,13.566921536317263,1,3,0.4666666666666667
Margaret Brayman,Belgium,Bruges,Belgium,13.539267571758693,12,1,2.166666666666668
Susan Cline,Pakistan,Jhang,Turkey,13.533757640739225,1,3,0.4666666666666667
James Dickenson,Hong Kong,Aberdeen,India,13.516430331715775,1,3,0.4666666666666667
Philip Mosby,Switzerland,Schaffhausen,India,13.51109094393071,11,2,1.3333333333333335
Seth Acosta,New Zealand,Gisborne,China,13.490167504616606,1,3,0.4666666666666667
Marguerite Fenton,New Zealand,Blenheim,South Korea,13.478818123432562,1,3,0.4666666666666667
Anna Brooks,Austria,Amstetten,Austria,13.477913168436901,11,2,0.8999999999999999
Evangelina Caldera,Oman,Saham,Spain,13.476751535813953,13,3,0.4666666666666667
Brian Rizzo,Norway,Fredrikstad,India,13.473476156576886,12,1,2.166666666666667
Debra Stevenson,New Zealand,Levin,Brazil,13.471510952788906,1,3,0.4666666666666667
Raymond Chavez,Netherlands,The Hague,Angola,13.46520043729369,12,1,4.200000000000003
Andrew Morgan,New Zealand,Masterton,Nigeria,13.429424138940231,1,3,0.4666666666666667
John Hubbard,Iraq,Diwaniyah,South Korea,13.404796733373225,13,2,1.4000000000000001
Dale Crawford,Pakistan,Rahim Yar Khan,United Kingdom,13.400828943477883,1,3,0.4666666666666667
Amber Denard,Hungary,Szeged,Sweden,13.379265629119667,12,1,2.0
Thomas Rutherford,Turkey,Pendik,Indonesia,13.360103743871997,11,2,1.166666666666666
Bobby Yang,Hong Kong,Hung Hom,United States,13.357110013684988,1,3,0.4666666666666667
Theresa Holland,Bangladesh,Barisal,Italy,13.323771050697124,1,3,0.4666666666666667
Thomas Mcmillan,Portugal,Faro,Portugal,13.316807882632746,12,1,1.5
Brenda Seaman,Greece,Piraeus,India,13.316566164696392,11,2,1.4000000000000001
Richard Hernandez,Peru,Tumbes,Japan,13.28973854610842,1,3,0.4666666666666667
Christine Holman,Peru,Pisco,Indonesia,13.267835872401923,1,3,0.4666666666666667
Allison Aronson,New Zealand,Timaru,United States,13.251222617822087,1,3,0.4666666666666667
Debra Cookson,United Arab Emirates,Kalba,United Arab Emirates,13.250833491877799,12,1,1.0
Erica Roberts,Canada,Gatineau,India,13.24640414728867,12,1,2.0
Consuelo Boyd,Brazil,Porto Alegre,Norway,13.237451522123395,12,1,2.5
Joseph Phelps,Mexico,Saltillo,Australia,13.165788776978284,12,1,4.3999999999999995
Nicholas Hunt,Czech Republic,Zlín,Germany,13.155397710585712,12,1,1.5
James Dowdle,Iraq,Erbil,France,13.152995227085423,12,1,3.1111111111111107
Troy Robinson,Hong Kong,Tai Po,Mexico,13.150335783485456,11,2,1.222222222222222
Christopher Session,Pakistan,Larkana,Indonesia,13.140924690135767,1,3,0.4666666666666667
Beatrice Vega,Israel,Modi'in,China,13.133789898172777,12,1,2.0
Celeste Tourville,Pakistan,Sheikhupura,Spain,13.11065622139393,1,3,0.4666666666666667
Gerardo Pond,Bangladesh,Tongi,United Kingdom,13.108273310247196,1,3,0.4666666666666667
Adrian Chandler,Kazakhstan,Temirtau,Brazil,13.100526050467487,11,2,1.4000000000000001
Mary Nelson,Peru,Ayacucho,United States,13.066539386932437,1,3,0.4666666666666667
Jacob Plank,Peru,Puno,Switzerland,13.061635087500893,1,3,0.4666666666666667
Sharon Sottile,Malaysia,Malacca,South Korea,13.050454385938632,12,1,1.6000000000000005
Christopher Hill,Romania,Ramnicu Valcea,Italy,13.036994596238026,1,3,0.44444444444444453
Lamont Bruno,Algeria,Biskra,India,12.971163590411516,11,2,1.4000000000000001
Benjamin Smith,Malaysia,Seremban,Japan,12.955532181341095,11,1,1.7999999999999998
Marcus Dyer,Hungary,Dunaujvaros,Canada,12.919580613793249,1,3,0.4666666666666667
Irving Flett,United Arab Emirates,Madinat Zayed,United Arab Emirates,12.804158560171333,1,2,0.23333333333333334
Jack Smith,Malaysia,Kota Kinabalu,South Korea,12.768471674148602,12,2,1.3333333333333335
Tiffanie Rackley,Ireland,Carlow,China,12.767237533236312,12,1,1.5
Dennis Simmers,Oman,Rustaq,Brazil,12.757842541402917,13,3,0.4666666666666667
Rita Berry,Romania,Botoșani,France,12.73322984809888,1,3,0.44444444444444453
Roger Gore,Kazakhstan,Almaty,Kazakhstan,12.731100233864208,12,1,3.45
Carl Henderson,Finland,Jyvaskyla,Italy,12.710995909058648,11,2,1.3333333333333335
Benjamin Rojas,Russia,Tyumen,Germany,12.710314413371169,12,1,2.7
Peggy Genther,Peru,Tacna,United Kingdom,12.65931011956154,1,3,0.44444444444444453
Jonathan Drum,Qatar,Al Markhiya,Netherlands,12.641748248708337,1,3,0.4666666666666667
Christina Cranker,Kenya,Kisii,Mexico,12.640091518802832,12,3,0.4666666666666667
Judith Bond,Qatar,Muaither,Spain,12.639756561856682,12,3,0.4666666666666667
George Rippee,Qatar,Al Khor,Bangladesh,12.639223470362525,1,3,0.4666666666666667
Steven Alpert,Slovakia,Levice,India,12.615322752705067,11,2,1.2000000000000002
Maria Harvey,Switzerland,Uster,China,12.599303699389264,12,1,1.6000000000000005
Macie Best,Ukraine,Odessa,Indonesia,12.580936512897079,12,1,1.6000000000000005
Erik Stephens,Qatar,The Pearl,Germany,12.562533427217254,1,3,0.4666666666666667
Mark Brown,South Korea,Jeonju,Spain,12.519498506786578,12,1,2.133333333333333
Jennifer Hooper,Ecuador,Portoviejo,Japan,12.483858116764395,12,1,1.3333333333333333
Ricky Edgell,Romania,Botoșani,Brazil,12.475578215808252,12,1,1.7777777777777777
Bertha Shirley,Bangladesh,Gazipur,China,12.467395506358173,13,2,1.3333333333333335
Edward Gonzalez,Qatar,Umm Salal,South Korea,12.44720133718622,1,3,0.4666666666666667
Melanie Student,Hungary,Veszprem,Japan,12.422983352032382,1,3,0.4666666666666667
Ronald Freeman,Qatar,Mesaieed,Switzerland,12.388342216809772,13,3,0.4666666666666667
Janet Ogg,Hungary,Bekescsaba,Canada,12.382261209234015,13,3,0.4666666666666667
Ian Rogers,Mexico,Saltillo,Germany,12.346584386021176,12,1,2.2
George Graham,Qatar,Al Aziziyah,Italy,12.32678915598275,1,3,0.4666666666666667
Judy Washington,Qatar,Madinat Khalifa,Saudi Arabia,12.322876717228192,1,3,0.4666666666666667
Claudia Doss,Iraq,Kut,United Arab Emirates,12.304025672872323,12,3,0.4666666666666667
Cory Wang,Netherlands,Haarlem,Mexico,12.280005816132496,12,1,2.166666666666667
Robert Ison,Algeria,Jijel,China,12.234836699099327,1,3,0.4666666666666667
Dianne Green,South Korea,Cheongju,United Kingdom,12.228252857048595,12,1,2.333333333333333
Jimmy Amick,Singapore,Queenstown,Mexico,12.188096482734547,12,1,1.8666666666666665
Jacqueline Whitman,Iraq,Dohuk,France,12.183925377179865,13,3,0.4666666666666667
George Bowen,Canada,Laval,Australia,12.173916904725171,12,1,2.3
Richard Rodriquez,Denmark,Helsingør,India,12.155321670201591,12,1,1.666666666666667
Joe Sanchez,Iraq,Samawah,Malaysia,12.141125183889883,1,3,0.4666666666666667
Dorothy Summers,New Zealand,New Plymouth,Russia,12.131478932685019,11,2,1.3333333333333333
Cindy Ledoux,Iraq,Fallujah,India,12.128396923916156,1,3,0.4666666666666667
Sophie Flagge,Algeria,Tlemcen,Netherlands,12.113960523276747,1,3,0.4666666666666667
Pablo Schuler,Australia,Ballarat,Australia,12.10149922477996,12,1,1.4814814814814816
Amy Jenkins,Iraq,Amarah,United Kingdom,12.091252886515294,1,3,0.4666666666666667
Jerry Crane,Ethiopia,Nekemte,Ethiopia,12.05198511892095,13,3,0.4666666666666667
Edith Hyler,Philippines,Quezon City,South Korea,12.049979025090067,12,1,3.444444444444443
Alfred Crabtree,Hungary,Kaposvar,Australia,12.048891065190638,13,3,0.4666666666666667
John Morgan,Israel,Ramla,Spain,12.027954717273039,12,1,1.3999999999999995
Bernice Holloway,Ukraine,Bila Tserkva,Canada,12.026945117389403,13,3,0.4666666666666667
Elizabeth Hamner,Algeria,Mostaganem,Israel,12.025345686230711,1,3,0.4666666666666667
Charles Brown,Brazil,Joao Pessoa,Ireland,11.980356582063072,12,1,3.4222222222222216
Jason Kurtz,Norway,Lillehammer,Indonesia,11.979802981012304,12,1,1.6666666666666667
Christopher Schaper,Norway,Tonsberg,Norway,11.942050768138644,12,1,1.6000000000000005
Steven Byrne,Algeria,Médéa,India,11.89360860990355,1,3,0.4666666666666667
Ashley Overton,Hungary,Pécs,Mexico,11.890881725182165,13,2,1.1999999999999997
Sandra Mcgowan,Algeria,El Oued,China,11.862026800387653,13,3,0.4666666666666667
Julie Moreno,Algeria,Tiaret,India,11.830672588213282,13,3,0.4666666666666667
Cecil Dunkelberger,Morocco,Oujda,Italy,11.82594714415109,12,1,1.3333333333333333
Francisco Tomassi,Ethiopia,Hosaena,Switzerland,11.824601415376799,1,3,0.4666666666666667
Kathryn Powell,Ireland,Ennis,Italy,11.81961851458207,12,1,1.5
Shelly Snell,Ireland,Drogheda,United Kingdom,11.788522857680741,12,1,1.5999999999999996
Jane Smith,Kazakhstan,Aktobe,Canada,11.76600338304928,12,1,1.7999999999999998
Amparo Dahlke,Switzerland,Lugano,France,11.760315637819142,12,1,1.8666666666666667
Letha Wasmund,New Zealand,Rotorua,Switzerland,11.757893904441946,12,1,1.3333333333333333
Hubert Smith,Nigeria,Abeokuta,Indonesia,11.747436790223725,11,2,1.2222222222222223
Edwin Walker,Indonesia,Padang,United Kingdom,11.7263888241858,12,1,2.533333333333333
Cary Duran,Ethiopia,Sodo,India,11.706759460642564,1,3,0.4666666666666667
Frank Sanders,Turkey,Atasehir,United States,11.689523421810254,12,1,1.4814814814814816
Wilhelmina Mulkey,Ireland,Waterford,Russia,11.67705487445025,12,1,1.833333333333334
Teresa Sloat,Ethiopia,Arba Minch,Italy,11.676380016625618,13,3,0.4666666666666667
Rochelle Ellis,Colombia,Armenia,France,11.675198362185489,1,3,0.4666666666666667
Willie Williams,Colombia,Neiva,United States,11.669144648100495,1,3,0.4666666666666667
Margaret Penrod,Chile,Concepcion,Chile,11.65944824817436,12,1,3.4
Lakeshia Napier,Greece,Kallithea,Mexico,11.642870282998787,13,3,0.4666666666666667
Robert Harris,Ireland,Portlaoise,Indonesia,11.634549474767546,12,1,1.5
Gloria Carol,Portugal,Queluz,Japan,11.5839728817458,12,1,1.7999999999999998
Chad Harris,Saudi Arabia,Hail,Saudi Arabia,11.567457479728043,12,1,1.2000000000000002
Paul Corral,Sweden,Lund,Russia,11.555553189554464,12,1,2.166666666666667
Elmer Auzenne,Algeria,Béchar,United Arab Emirates,11.539630226979742,1,3,0.4666666666666667
Amparo Wismer,Russia,Izhevsk,Japan,11.48714860392113,12,1,2.333333333333333
Patrick Plourde,Ecuador,Babahoyo,France,11.478648272196443,1,3,0.4666666666666667
Brandie Merkle,Ireland,Kilkenny,Germany,11.472908807858419,12,1,1.2000000000000002
John Crowley,Colombia,Palmira,Spain,11.441101868260223,13,3,0.4666666666666667
Tim Lewis,Hungary,Miskolc,South Korea,11.434298262923692,12,1,1.5
Carl Williams,Colombia,Monteria,India,11.427086870008788,1,3,0.4666666666666667
Katie Linden,Ecuador,Riobamba,Turkey,11.425791260725779,1,3,0.4666666666666667
Tiffany Price,Colombia,Manizales,Italy,11.42270361288496,1,3,0.4666666666666667
Carmen Calvert,Ecuador,Quevedo,Japan,11.410189520430626,1,3,0.4666666666666667
Lori Brousseau,Ecuador,Eloy Alfaro,United States,11.404716308375026,1,3,0.4666666666666667
Leslie Martin,Norway,Kongsberg,Israel,11.40043112122767,12,1,1.3333333333333333
Cassandra Kern,Ukraine,Kryvyi Rih,Germany,11.37019192490208,12,1,1.5
Marianne Dillion,Ecuador,Latacunga,Mexico,11.343810418069609,1,3,0.4666666666666667
David Cook,Morocco,Nador,Peru,11.3306803955975,1,3,0.4666666666666667
James Savala,Ethiopia,Kombolcha,United States,11.302298703875833,12,3,0.4666666666666667
Maria Cobb,Greece,Zografou,Germany,11.295559606881888,1,3,0.4666666666666667
Bettie Wiseman,Thailand,Khon Kaen,United Kingdom,11.295325340040206,12,1,1.6000000000000005
Milton Robinson,Slovakia,Prievidza,Mexico,11.26529319843314,11,2,1.4000000000000001
Roxie Seley,Greece,Agios Dimitrios,Germany,11.25244736667908,1,3,0.4666666666666667
Jeanne Durbin,Ethiopia,Harar,Canada,11.244830274958366,12,3,0.4666666666666667
Anthony Tosten,Greece,Ilion,India,11.222806425258232,1,3,0.4666666666666667
Amy Carnillo,Greece,Rhodes,Japan,11.190466137128444,12,3,0.4666666666666667
Thomas Howley,Pakistan,Jhang,South Africa,11.155276888494159,14,2,0.19999999999999996
Brandi Wallace,Ethiopia,Debre Markos,United Kingdom,11.131887147240201,1,3,0.4666666666666667
Herbert Hart,Greece,Nikaia,India,11.128690781265867,1,3,0.4666666666666667
Victoria Suh,Angola,Cabinda,Indonesia,11.127863887166347,12,1,1.5
Brad Webb,Saudi Arabia,Qassim,United Kingdom,11.119134655110683,12,1,1.3999999999999995
Sadie Hammond,Greece,Glyfada,Japan,11.114993342919917,13,3,0.4666666666666667
Margo Atwood,Algeria,Mostaganem,Switzerland,11.096994767783556,12,1,0.40000000000000013
John Williams,Greece,Acharnes,Poland,11.095281374531346,1,3,0.4666666666666667
Sarah Hopper,Nigeria,Ogbomosho,Russia,11.052982065126464,12,1,1.3999999999999995
Jamie Cook,Greece,Kalamaria,Saudi Arabia,11.04056787871658,12,3,0.4666666666666667
Janice Puckett,Saudi Arabia,Khobar,China,11.022981692441546,12,1,3.7777777777777777
Eric Mckenzie,Malaysia,Miri,United Kingdom,11.012127154862021,12,1,2.0
Amada Newman,Iraq,Erbil,Italy,11.00457214074614,14,1,1.5555555555555554
Joseph Brignac,Qatar,Al Daayen,Romania,10.985013978081735,13,2,0.7000000000000002
Joseph Glass,Greece,Chania,United Kingdom,10.973659211674105,1,3,0.4666666666666667
Floyd Triplett,Portugal,Braga,Italy,10.969472584000036,12,1,2.5
Jamie Mosely,Philippines,Valenzuela,Spain,10.932471573214599,12,1,1.6000000000000005
Vanessa Colvin,Malaysia,Johor Bahru,Iraq,10.903519601017397,12,1,2.166666666666668
Shirley Polanski,Greece,Chalcis,Russia,10.869774862553987,13,3,0.4666666666666667
Carolann Zasso,Kuwait,Jahra,United Kingdom,10.8329948320378,12,1,2.0
Gladys Harmon,Austria,Feldkirch,Austria,10.831970755153305,12,1,1.5999999999999999
Maria Hillman,Greece,Ioannina,Germany,10.826292036569315,13,3,0.4666666666666667
Marcelino Shaw,Kazakhstan,Rudny,Philippines,10.81733351943862,12,3,0.4666666666666667
Glenn Williams,Algeria,Annaba,Ireland,10.80213583409927,12,1,1.5999999999999999
Don Poitras,Oman,Izki,China,10.778698210661828,13,3,0.4666666666666667
John Snyder,Morocco,Beni Mellal,Indonesia,10.765747321213523,1,3,0.4666666666666667
Derrick Brown,Morocco,Tangier,Spain,10.765362518739552,12,1,1.6000000000000005
Phyllis Song,Kazakhstan,Kokshetau,China,10.737731453681508,1,3,0.4666666666666667
Patrick Brock,Oman,Al Khaburah,China,10.725858943677368,1,3,0.4666666666666667
Carrie Amyotte,Morocco,El Jadida,France,10.719879286674173,13,3,0.4666666666666667
Charlene Belland,Netherlands,Nijmegen,United States,10.683579567682255,12,1,2.333333333333333
Albert Cannon,Kenya,Embu,Nigeria,10.678625391373544,1,3,0.4666666666666667
Simon Spinks,Nigeria,Sokoto,France,10.673991160530715,13,1,1.2
Valerie Carter,Kenya,Wajir,Canada,10.657480955029106,13,3,0.4666666666666667
Bradley Thurber,Angola,Lubango,India,10.656717272315372,12,1,2.0
Wilbur Caldwell,Czech Republic,Hradec Králové,Austria,10.622429125192395,12,1,1.7999999999999998
Scott Curtis,Kenya,Naivasha,Japan,10.61108684848019,13,3,0.4666666666666667
Edna Abrams,Denmark,Herning,Japan,10.593376707597724,12,1,1.3999999999999995
Matthew Converse,Colombia,Barranquilla,United Kingdom,10.588548758327201,11,2,1.2000000000000002
Kenneth Madsen,Morocco,Mohammedia,France,10.578938231705756,1,3,0.4666666666666667
Virginia Borsellino,Hong Kong,Mong Kok,United Kingdom,10.578128123344403,3,1,0.4000000000000001
Robert Castillo,Denmark,Copenhagen S,Brazil,10.554421429047828,12,1,1.6000000000000005
Earl Carver,Chile,Puerto Montt,United Kingdom,10.508670191376005,12,1,1.5
Stan Bouchard,Hong Kong,Sha Tin,United States,10.491904623800846,12,1,1.7999999999999998
Columbus Huxtable,Austria,Klosterneuburg,Austria,10.475346713200635,12,1,1.1999999999999997
Hector Faulkner,Kenya,Kericho,Australia,10.465143256525293,1,3,0.4666666666666667
Lisa Mackley,Angola,Kuito,India,10.45872581148295,1,3,0.4666666666666667
Bethany Hudgins,Bangladesh,Comilla,Germany,10.43739443231621,12,1,1.0
Leslie Carkhuff,Malaysia,Putrajaya,China,10.426927103377901,1,3,0.30000000000000004
Wilfred Schwartz,Peru,Chiclayo,Indonesia,10.415576212085035,12,1,2.0
Iris Morse,Nigeria,Owerri,Bangladesh,10.376921735322675,12,1,0.6000000000000001
Martha Clermont,Algeria,Skikda,France,10.371090564775054,11,2,1.4000000000000001
Marvin Turner,Morocco,Tangier,Japan,10.361635611707191,11,2,1.3333333333333335
Shari Friedmann,Philippines,Muntinlupa,United Kingdom,10.360643262892076,12,1,1.7999999999999998
Toni Spohr,Israel,Rehovot,India,10.352773167964243,12,1,2.166666666666667
Sean Bongiorno,Portugal,Barreiro,United States,10.34857682939657,11,2,1.2000000000000002
David Morrison,Romania,Ramnicu Valcea,France,10.343819893657086,12,1,0.8888888888888888
Charles Mcintosh,South Africa,Tembisa,France,10.310921420241428,1,3,0.29999999999999993
Jose Garrett,Pakistan,Dera Ghazi Khan,Italy,10.270278405728012,1,3,0.30000000000000004
Nancy Edwards,Kazakhstan,Ekibastuz,Morocco,10.263763589430557,13,2,0.30000000000000004
Charles Forshee,Angola,Namibe,Indonesia,10.257727695336786,13,3,0.2666666666666666
Mary Colantuono,Finland,Lappeenranta,Japan,10.24968327626019,13,2,1.0
Alberta Conte,Portugal,Agualva-Cacem,Portugal,10.239476556062419,13,2,1.2000000000000002
Janet Sykes,United Arab Emirates,Dhaid,United Arab Emirates,10.22996059113128,13,3,0.18888888888888888
Michael Rodgers,Thailand,Nakhon Ratchasima,Thailand,10.158385865624826,12,1,1.6
Michael Chambers,Finland,Seinajoki,France,10.115971320122656,12,1,1.5
Monte Rothrock,Qatar,Lusail,Qatar,10.114260543641398,12,1,2.0
Cornelius Obrien,Iraq,Tikrit,Kuwait,10.07492582189818,1,3,0.2333333333333334
Kevin Hill,Portugal,Portimao,United Kingdom,10.006000077377898,12,1,1.5925925925925928
Kevin Delgadillo,Denmark,Silkeborg,South Korea,9.995879412056317,12,1,1.3999999999999995
Wayne Menchaca,Peru,Cusco,China,9.9332508972477,12,1,1.5
Roy Bridgeman,Greece,Kalamaria,United Kingdom,9.918830070544981,14,2,0.19999999999999996
Darren Kohler,Ireland,Newbridge,China,9.873843551440356,12,1,1.5
Joe Davis,Poland,Sosnowiec,Poland,9.85370485454471,12,1,1.333333333333334
Santos Washington,Ukraine,Zaporizhzhia,Japan,9.847283483732841,12,1,1.7999999999999998
Angela Walton,Iraq,Sulaymaniyah,India,9.81962681533316,12,1,1.3333333333333333
Minnie Pacheco,Kuwait,Hawalli,Brazil,9.726137739316998,12,1,1.9444444444444446
Terrell Breedon,Philippines,Dasmariñas,United Kingdom,9.692135737141351,12,1,1.6000000000000005
Irving Wilson,Denmark,Naestved,South Korea,9.672512557091153,12,1,1.3333333333333333
Charles Walburn,Kazakhstan,Turkestan,United Kingdom,9.639377402743538,12,2,0.7
Monique Freeman,Finland,Lappeenranta,China,9.637017531965286,12,1,1.5
Gregory Zimmerman,Finland,Kotka,Russia,9.632562752722935,12,1,1.3333333333333335
Cheryl Moriarity,Singapore,Yishun,United States,9.630137150912065,12,1,2.222222222222222
Arthur Takahashi,Switzerland,Vernier,Switzerland,9.614081788196438,12,1,1.6000000000000005
Nancy Green,Singapore,Woodlands,South Korea,9.60677951302335,12,1,1.6
Mario Godzik,Singapore,Bukit Batok,Switzerland,9.601070988047049,13,2,0.7777777777777777
Karen Craig,South Korea,Yongin,Germany,9.57703975590555,12,1,5.199999999999999
Dan Montgomery,Morocco,Agadir,United States,9.503746661888814,12,1,2.0
Mamie Chaidez,Hungary,Nyiregyhaza,China,9.424286512660691,12,1,1.3333333333333333
Arlene Sanders,Portugal,Viseu,India,9.403813104150109,12,1,1.3333333333333333
Ian Cardimino,Oman,Al Khuwair,Bangladesh,9.350959712983023,13,2,0.7
Suzanne Stone,Austria,Wiener Neustadt,Spain,9.302784242895786,12,1,1.200000000000001
Vera Poteete,Romania,Bacau,United Kingdom,9.237931022913155,11,2,1.2000000000000002
Victor Cervantes,Ecuador,Azogues,Belgium,9.221956081105333,12,1,0.29629629629629634
Phyllis Giorgio,Hungary,Debrecen,India,9.217914954056452,12,1,1.7999999999999998
Abigail Dabbs,Romania,Buzau,Russia,9.192486162862368,12,1,1.5
Mercedes Miron,Saudi Arabia,Tabuk,China,9.157711210195453,12,1,2.166666666666667
Juan Drake,Argentina,Florencio Varela,United Kingdom,9.144893808276864,12,1,2.0
Kenneth Lopez,Kazakhstan,Rudny,Indonesia,9.11388187504809,14,2,0.19999999999999996
Mark Vaughan,Oman,Al Suwaiq,Philippines,9.086813752925092,13,2,0.1
Tanya Kenny,Hong Kong,Tin Shui Wai,Brazil,9.07174486118034,13,1,1.5999999999999999
Arthur Morris,Czech Republic,Ústí nad Labem,Czech Republic,9.066185162560668,12,1,1.7999999999999998
Devon Faulkner,Austria,Bregenz,Brazil,9.02405305890896,12,1,1.8666666666666665
David King,Ireland,Navan,Italy,9.015047211000576,12,1,1.2000000000000002
Clifford Villalta,Philippines,Las Piñas,Argentina,9.006416984462945,12,1,1.3999999999999997
Mary Legere,Kenya,Kikuyu,Kenya,8.882413125224934,12,1,1.3333333333333333
Kyle Adams,Turkey,Esenyurt,United States,8.87377538607218,12,1,1.25
Elaine Hopson,Pakistan,Peshawar,Indonesia,8.872340198346931,12,1,1.9555555555555557
Yvonne Morris,Chile,Antofagasta,Italy,8.848180714394626,12,1,1.6000000000000005
Christina Koonce,Singapore,Ang Mo Kio,South Korea,8.817577452417249,12,1,1.9555555555555557
Stacy Lo,Ukraine,Vinnytsia,Sweden,8.807541160931013,12,2,1.4000000000000001
Wayne Hembree,Slovakia,Martin,Germany,8.806675852143737,12,1,1.3333333333333333
